#analisisMalo
#N M promGE maxGE tG
35 40 14 14 0
48 57 22 22 0
63 77 30 30 0
80 100 41 41 0
99 126 52 52 1
120 155 66 66 1
143 187 80 80 1
168 222 97 97 2
195 260 114 114 2
224 301 134 134 3
255 345 154 154 4
288 392 177 177 4
323 442 200 200 5
360 495 226 226 7
399 551 252 252 8
440 610 281 281 10
483 672 310 310 12
528 737 342 342 15
575 805 374 374 18
624 876 409 409 20
675 950 444 444 24
728 1027 482 482 28
783 1107 520 520 33
840 1190 561 561 39
899 1276 602 602 46
960 1365 646 646 54
1023 1457 690 690 114
1088 1552 737 737 71
1155 1650 784 784 80
1224 1751 834 834 91
1295 1855 884 884 101
1368 1962 937 937 114
1443 2072 990 990 127
1520 2185 1046 1046 141
1599 2301 1102 1102 162
1680 2420 1161 1161 172
1763 2542 1220 1220 189
1848 2667 1282 1282 209
1935 2795 1344 1344 227
2024 2926 1409 1409 251
2115 3060 1474 1474 273
2208 3197 1542 1542 298
2303 3337 1610 1610 612
2400 3480 1681 1681 352
2499 3626 1752 1752 381
2600 3775 1826 1826 414
2703 3927 1900 1900 444
2808 4082 1977 1977 485
2915 4240 2054 2054 522
3024 4401 2134 2134 564
3135 4565 2214 2214 1150
3248 4732 2297 2297 654
3363 4902 2380 2380 706
3480 5075 2466 2466 764
3599 5251 2552 2552 808
3720 5430 2641 2641 893
3843 5612 2730 2730 983
3968 5797 2822 2822 1109
4095 5985 2914 2914 1904
4224 6176 3009 3009 1334
4355 6370 3104 3104 1472
4488 6567 3202 3202 -41327
4623 6767 3300 3300 1775
4760 6970 3401 3401 2013
4899 7176 3502 3502 2270
5040 7385 3606 3606 2586
5183 7597 3710 3710 3197
5328 7812 3817 3817 3250
5475 8030 3924 3924 3569
5624 8251 4034 4034 3872
5775 8475 4144 4144 4252
5928 8702 4257 4257 4350
6083 8932 4370 4370 4880
6240 9165 4486 4486 -37784
6399 9401 4602 4602 5011
6560 9640 4721 4721 5808
