#mejoraAleatorio ej3
#N promGL maxGL ptG+L
10 0 0 0
20 0 0 0
30 0 0 0
40 2 3 0
50 2 4 0
60 3 8 1
70 4 9 1
80 3 5 1
90 8 39 1
100 3 8 1
110 5 15 2
120 9 42 3
130 13 59 3
140 9 37 4
150 6 17 4
160 8 15 5
170 13 70 5
180 12 73 6
190 7 36 6
200 16 98 7
210 5 11 7
220 14 104 9
230 5 13 9
240 28 106 10
250 15 116 11
260 25 131 11
270 15 130 12
280 13 119 13
290 18 162 14
300 9 28 15
310 9 29 16
320 22 130 17
330 8 32 18
340 30 188 19
350 9 16 21
360 32 378 22
370 9 35 23
380 58 257 24
390 14 28 26
400 32 228 27
410 8 15 28
420 26 233 29
430 6 14 31
440 68 262 33
450 8 21 34
460 15 198 35
470 22 222 38
480 5 8 39
490 27 235 40
500 12 29 42
510 34 285 45
520 44 238 46
530 11 20 49
540 56 321 50
550 10 24 51
560 35 305 53
570 23 315 55
580 24 310 57
590 10 20 59
600 54 345 62
610 12 28 63
620 42 347 66
630 33 329 68
640 31 286 70
650 15 40 73
660 32 259 76
670 50 386 77
680 11 30 80
690 34 385 81
700 46 415 85
710 53 405 87
720 37 410 91
730 68 425 92
740 61 468 95
750 44 433 98
760 15 29 101
770 11 21 104
780 15 37 107
790 12 32 110
800 19 57 116
810 69 910 117
820 12 43 120
830 47 463 125
840 48 447 128
850 15 42 131
860 39 380 135
870 11 21 137
880 56 495 142
890 34 355 145
900 35 537 150
