#analisisMalo ej3
# N M promGL promLE maxGL maxLE ptG+L
24 26 0 9 0 9 0
35 40 0 14 0 14 0
48 57 0 22 0 22 0
63 77 0 30 0 30 0
80 100 0 41 0 41 0
99 126 0 52 0 52 1
120 155 0 66 0 66 1
143 187 0 80 0 80 2
168 222 0 97 0 97 3
195 260 0 114 0 114 3
224 301 0 134 0 134 4
255 345 0 154 0 154 5
288 392 0 177 0 177 6
323 442 0 200 0 200 8
360 495 0 226 0 226 9
399 551 0 252 0 252 12
440 610 0 281 0 281 15
483 672 0 310 0 310 18
528 737 0 342 0 342 21
575 805 0 374 0 374 25
624 876 0 409 0 409 30
675 950 0 444 0 444 35
728 1027 0 482 0 482 42
783 1107 0 520 0 520 49
840 1190 0 561 0 561 57
899 1276 0 602 0 602 67
960 1365 0 646 0 646 78
1023 1457 0 690 0 690 97
1088 1552 0 737 0 737 103
1155 1650 0 784 0 784 116
1224 1751 0 834 0 834 132
1295 1855 0 884 0 884 147
1368 1962 0 937 0 937 165
1443 2072 0 990 0 990 184
1520 2185 0 1046 0 1046 205
1599 2301 0 1102 0 1102 252
1680 2420 0 1161 0 1161 250
1763 2542 0 1220 0 1220 276
1848 2667 0 1282 0 1282 305
1935 2795 0 1344 0 1344 333
