#analisisAleatorio ej4
#N promGL promLT promTE maxGL maxLT maxTE ptG+L ptT ptE
5 0 0 0 0 0 0 0 0 0
15 0 0 0 0 0 0 0 2 0
25 0 2 0 0 3 0 0 6 0
35 0 2 0 0 3 0 0 15 0
45 5 5 0 10 10 0 0 28 0
55 4 4 0 6 10 0 1 53 0
65 4 8 0 5 22 0 1 84 0
75 4 9 0 10 23 0 1 130 0
85 4 10 0 11 30 0 1 173 0
95 4 11 0 7 34 0 3 240 0
105 10 15 0 34 39 0 3 325 0
115 18 14 0 64 40 0 4 425 0
125 4 17 0 9 73 0 4 550 0
135 7 17 0 16 94 0 5 684 0
145 13 21 0 13 51 0 6 892 0
155 4 29 0 6 66 0 6 1031 0
165 8 31 0 17 80 0 6 1213 0
175 24 24 0 96 72 0 8 1401 0
185 27 32 0 93 87 0 9 1699 0
195 3 37 0 7 77 0 9 1885 0
205 9 35 0 23 91 0 10 2287 0
215 9 18 0 22 75 0 11 2648 0
225 9 53 0 16 107 0 13 3130 0
235 3 22 0 7 114 0 14 3435 0
245 0 50 0 0 119 0 15 4029 0
255 7 61 0 7 131 0 17 4504 0
265 11 26 0 20 87 0 18 5117 0
