#mejoraMalo ej4
# N M promGL promLT promTE maxGL maxLT maxTE ptG ptL ptT
48 57 0 0 1 0 0 1 0 0 63
63 77 0 0 3 0 0 3 1 1 149
80 100 0 0 5 0 0 5 1 1 349
99 126 0 0 8 0 0 8 2 3 766
120 155 0 0 11 0 0 11 1 2 1656
143 187 0 0 15 0 0 15 2 3 3105
168 222 0 0 19 0 0 19 4 5 5600
195 260 0 0 24 0 0 24 3 5 9968
224 301 0 0 29 0 0 29 4 6 17447
255 345 0 0 35 0 0 35 6 9 26862
288 392 0 0 41 0 0 41 8 12 46329
323 442 0 0 48 0 0 48 13 19 74342
360 495 0 0 55 0 0 55 14 20 111928
399 551 0 0 63 0 0 63 17 23 154665
440 610 0 0 71 0 0 71 20 28 239540
483 672 0 0 80 0 0 80 23 32 320385
528 737 0 0 89 0 0 89 25 36 466069
575 805 0 0 99 0 0 99 33 50 684282
